Series ID,State ID,,,Series name,State name,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021","May
2021","Jun
2021","Jul
2021","Aug
2021","Sep
2021","Oct
2021","Nov
2021","Dec
2021"
JTU000000180000000QUL,18,18,JTUQUL,"Quits levels, not seasonally adjusted",Indiana,88,63,73,55,53,59,92,85,82,71,62,71,75,63,78,102,92,109,105,126,,,,
JTS000000180000000QUR,18,18,JTSQUR,"Quits rate, seasonally adjusted",Indiana,2.8,2.7,2.4,2,1.6,1.7,2.8,2.3,2.7,2.4,2.6,2.8,2.4,2.6,2.6,3.4,2.8,3.1,3.2,3.6,,,,
JTU000000180000000QUR,18,18,JTUQUR,"Quits rate, not seasonally adjusted",Indiana,2.8,2,2.3,2.1,1.9,2,3.1,2.8,2.7,2.3,2,2.3,2.5,2.1,2.6,3.4,3,3.6,3.5,4.1,,,,
JTS000000190000000QUL,19,19,JTSQUL,"Quits levels, seasonally adjusted",Iowa,36,35,27,17,22,27,39,35,31,37,32,28,35,38,36,34,39,43,41,55,,,,
JTU000000190000000QUL,19,19,JTUQUL,"Quits levels, not seasonally adjusted",Iowa,32,27,25,15,25,25,43,48,34,39,26,23,32,32,34,32,44,44,45,66,,,,
JTS000000190000000QUR,19,19,JTSQUR,"Quits rate, seasonally adjusted",Iowa,2.3,2.2,1.7,1.2,1.5,1.8,2.6,2.3,2.1,2.4,2.1,1.9,2.3,2.5,2.4,2.2,2.6,2.8,2.7,3.6,,,,
JTU000000190000000QUR,19,19,JTUQUR,"Quits rate, not seasonally adjusted",Iowa,2.1,1.8,1.6,1.1,1.8,1.7,2.9,3.3,2.3,2.6,1.7,1.5,2.2,2.2,2.3,2.1,2.9,2.8,2.9,4.3,,,,
JTS000000200000000QUL,20,20,JTSQUL,"Quits levels, seasonally adjusted",Kansas,36,35,24,16,12,24,35,27,30,32,31,30,31,31,29,29,27,40,40,43,,,,
JTU000000200000000QUL,20,20,JTUQUL,"Quits levels, not seasonally adjusted",Kansas,36,28,24,15,17,28,35,36,31,30,25,23,32,26,29,27,32,44,43,51,,,,
JTS000000200000000QUR,20,20,JTSQUR,"Quits rate, seasonally adjusted",Kansas,2.5,2.4,1.7,1.3,0.9,1.8,2.6,2,2.2,2.4,2.3,2.2,2.3,2.3,2.1,2.1,2,2.9,2.9,3.1,,,,
JTU000000200000000QUR,20,20,JTUQUR,"Quits rate, not seasonally adjusted",Kansas,2.5,2,1.7,1.2,1.3,2.1,2.7,2.7,2.3,2.2,1.8,1.7,2.4,1.9,2.1,2,2.3,3.2,3.2,3.7,,,,
JTS000000210000000QUL,21,21,JTSQUL,"Quits levels, seasonally adjusted",Kentucky,62,46,41,37,36,40,34,57,58,60,60,52,66,47,64,79,60,59,58,84,,,,
JTU000000210000000QUL,21,21,JTUQUL,"Quits levels, not seasonally adjusted",Kentucky,63,42,36,33,33,40,43,66,57,65,52,50,69,43,59,74,57,59,65,96,,,,
JTS000000210000000QUR,21,21,JTSQUR,"Quits rate, seasonally adjusted",Kentucky,3.2,2.4,2.1,2.2,2.1,2.2,1.9,3.1,3.1,3.2,3.2,2.8,3.6,2.5,3.4,4.2,3.2,3.2,3.1,4.5,,,,
JTU000000210000000QUR,21,21,JTUQUR,"Quits rate, not seasonally adjusted",Kentucky,3.3,2.2,1.9,2,2,2.2,2.4,3.6,3.1,3.5,2.8,2.7,3.8,2.4,3.2,4,3,3.1,3.5,5.1,,,,
JTS000000220000000QUL,22,22,JTSQUL,"Quits levels, seasonally adjusted",Louisiana,48,52,42,31,33,43,45,50,66,47,56,55,50,54,52,55,55,59,56,57,,,,
