state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
48,TX,2021,2,0.5690075978316118,0.08526435326344474,0.7392540997931938,12401.8,10444.7,12346.4,10362.5,2552201,41077.92857142857,0.0880470258283824,0.0014171256252564037,0,0,314,253,2.5,2
48,TX,2021,3,0.5837044034618033,0.07211776520869292,0.76222257776715,12511.5,10558,12482,10497.3,2730625.419354839,46709.83870967742,0.09420239504081888,0.0016114178998090447,9.064516129032258,8.140030717092955,372,349,3,2.8
48,TX,2021,4,0.5871456060886087,0.05576251340025924,0.7690618758812927,12526.5,10561.3,12533.1,10545.5,2840173.966666667,49577.86666666667,0.09798165215051609,0.0017103604719675679,20.956666666666667,22.254444468342648,346,365,2.8,2.9
48,TX,2021,5,0.5950830591775083,0.05166234691022756,0.7715439950384332,12568.5,10606.2,12599.9,10612.1,2923716.870967742,51098.967741935485,0.10086375440373785,0.0017628361295124767,31.90967741935484,36.40435513387176,348,359,2.8,2.8
48,TX,2021,6,0.5891911439670476,0.06210268146285124,0.754636500711481,12627.4,10666.5,12670.6,10711.7,2973170.033333333,52155.566666666666,0.10256981276830178,0.0017992871742444738,38.46,44.62300080327835,363,393,2.9,3.1
48,TX,2021,7,0.5968947512206618,0.054028465762730175,0.7650715638120903,12721,10741.1,12678,10775,3039924.709677419,52928.51612903226,0.10487274686801926,0.0018259527469313183,42.596774193548384,49.46024890200284,360,414,2.8,3.3
48,TX,2021,8,0.6054652378603085,0.045860770748191074,0.7803859831648299,12761.5,10777.5,12715.4,10814.6,3363587.806451613,54874.3870967742,0.11603862801976697,0.0018930823152354893,45.47741935483871,52.51309843172667,379,464,3,3.6
48,TX,2021,9,0.6066299361450274,0.04806648844759328,0.7795895670907805,12857.3,10862.8,12836,10859.1,3630865,57533,0.12525928186470017,0.001984800388756342,47.6,54.978770553948394,NA,NA,NA,NA
49,UT,2020,1,0.6599711057162866,0.034748790036806566,0.8148618343661942,1570.9,1318.2,1556.8,1303.5,NA,NA,NA,NA,NA,NA,44,44,2.8,2.8
49,UT,2020,2,0.667292104789723,0.025470609582701028,0.8111383089989768,1572.2,1319.9,1567.2,1310.8,1,0,3.121699778015929e-7,0,NA,NA,41,30,2.6,1.9
49,UT,2020,3,0.6516311128516327,0.036169802010338814,0.8003288128385683,1568.7,1315.3,1565.3,1308.3,179.41935483870967,0.6451612903225806,5.600933601717612e-5,2.0139998567844704e-7,NA,NA,32,26,2,1.7
